Food List
-- Carbohydrates & Grains --
Bread
Cassava
Maize
Millet
Oat
Pasta
Potato
Plantain
Rice
Sorghum
Wheat
Wheat-based homemade
Yam
Other Carbs
-- Dairy & Animal Products --
Cheese
Egg
Milk
Yoghurt
-- Sweets & Processed Carbs --
Cake
Chocolate
Cookies
Jam
Pastries
-- Proteins (Animal-Based) --
Beef
"Crayfish, etc."
Fish
Goat
Lamb
Poultry
Other ABP
-- Proteins (Plant-Based) / Legumes & Seeds --
Beans
Egusi
Nuts
Sesame
Other PBP
----  Fruits ----
Apple
Avocado
Banana
Berries
Coconut
Dates
Guava
Mango
Orange
Papaya (Pawpaw)
Pineapple
Watermelon
Other Fruits
-- Vegetables --
----Leafy Greens ----
Amaranth
Bitterleaf
Kale
Jute Leaves (Ewedu)
Nightshade
Pumpkin leaves
Spinach
--------
Aubergine
Cabbage
Carrot
Garden Egg (African eggplant)
Okra
Onion
Paprika
Pea
Tomato
Veggie mix/ salad
Other veggies
"-- Condiments, Spices & Oils --"
Palm oil
Sunflower il
Rapeseed oil
Groundnnut oil
Sesame oil
"Pepper (hot chili, scotch bonnet, etc.)"
Curry
"Dried oregano, thyme, basilikum, etc."
Fresh herbs
